G = undirected Epinions,H = Partially observed undirected Epinions,,,,,,,,,,
Cut percent,nx.average_clustering(G),avg_clustering(G),"avg_clustering(G,undefined=None)",iteration,Nodes,Edges,nx.average_clustering(H),avg_clustering(H),"avg_clustering(H,undefined=None)","avg_clustering(H,observed=observed)","avg_clustering(H,observed=observed,undefined=None)"
0.2,0.137756373,0.137756373,0.260512807,4,74404,389720,0.131681287,0.131681287,0.250015681,0.134290129,0.257671372
0.2,0.137756373,0.137756373,0.260512807,5,74396,388750,0.131125083,0.131125083,0.249117232,0.133757183,0.256872903
0.2,0.137756373,0.137756373,0.260512807,6,74427,390759,0.131921169,0.131921169,0.250152786,0.134214634,0.256804786
0.2,0.137756373,0.137756373,0.260512807,7,74306,389443,0.131251977,0.131251977,0.249304943,0.133908212,0.256851845
0.2,0.137756373,0.137756373,0.260512807,8,74337,389396,0.132091212,0.132091212,0.250907486,0.134594616,0.258296157
0.2,0.137756373,0.137756373,0.260512807,9,74343,388544,0.131706458,0.131706458,0.249737373,0.134267742,0.257052605
0.2,0.137756373,0.137756373,0.260512807,avg,74368.7,389492.7,0.131534225,0.131534225,0.249745272,0.13407079,0.257225289
0.3,0.137756373,0.137756373,0.260512807,0,72166,370278,0.124929202,0.124929202,0.238628962,0.129884759,0.25428674
0.3,0.137756373,0.137756373,0.260512807,1,72168,365522,0.124145509,0.124145509,0.236506338,0.129261635,0.252109445
0.3,0.137756373,0.137756373,0.260512807,2,72372,369997,0.125154154,0.125154154,0.238774092,0.130137237,0.253876006
0.3,0.137756373,0.137756373,0.260512807,3,72579,372052,0.124063811,0.124063811,0.237452264,0.128758388,0.251572267
0.3,0.137756373,0.137756373,0.260512807,4,72309,366899,0.123307676,0.123307676,0.235960906,0.128421154,0.251789729
0.3,0.137756373,0.137756373,0.260512807,5,72419,370381,0.125113812,0.125113812,0.238512613,0.12971957,0.252918762
0.3,0.137756373,0.137756373,0.260512807,6,72240,368062,0.123535272,0.123535272,0.235622127,0.128709652,0.251562059
0.3,0.137756373,0.137756373,0.260512807,7,72300,370986,0.124900828,0.124900828,0.238500115,0.129543861,0.253087825
0.3,0.137756373,0.137756373,0.260512807,8,72353,368901,0.124167026,0.124167026,0.236379962,0.129195354,0.251436949
0.3,0.137756373,0.137756373,0.260512807,9,72495,369707,0.125621028,0.125621028,0.239686708,0.130333989,0.253986789
0.3,0.137756373,0.137756373,0.260512807,avg,72340.1,369278.5,0.124493832,0.124493832,0.237602409,0.12939656,0.252662657
0.4,0.137756373,0.137756373,0.260512807,0,68779,338173,0.11425547,0.11425547,0.219452567,0.122047149,0.244631372
0.4,0.137756373,0.137756373,0.260512807,1,69141,341748,0.117015617,0.117015617,0.225251317,0.124497535,0.249164444
0.4,0.137756373,0.137756373,0.260512807,2,68923,339078,0.115507949,0.115507949,0.22185187,0.123055376,0.24630015
0.4,0.137756373,0.137756373,0.260512807,3,69308,342855,0.117642267,0.117642267,0.225635108,0.124645406,0.248130854
0.4,0.137756373,0.137756373,0.260512807,4,69384,340722,0.113356367,0.113356367,0.218530138,0.120852773,0.241865898
0.4,0.137756373,0.137756373,0.260512807,5,69373,341146,0.112838934,0.112838934,0.21787952,0.120601111,0.241924091
0.4,0.137756373,0.137756373,0.260512807,6,69339,342421,0.114991725,0.114991725,0.22147134,0.122281959,0.244743932
0.4,0.137756373,0.137756373,0.260512807,7,69257,342400,0.115406235,0.115406235,0.221963665,0.122575027,0.245323624
0.4,0.137756373,0.137756373,0.260512807,8,69092,337880,0.114314153,0.114314153,0.219699401,0.122071484,0.244411817
0.4,0.137756373,0.137756373,0.260512807,9,69407,339398,0.114741781,0.114741781,0.220581731,0.122321021,0.244589183
0.4,0.137756373,0.137756373,0.260512807,avg,69200.3,340582.1,0.11500705,0.11500705,0.221231666,0.122494884,0.245108536
0.5,0.137756373,0.137756373,0.260512807,0,64678,304363,0.104748695,0.104748695,0.203849438,0.114430522,0.237185531
0.5,0.137756373,0.137756373,0.260512807,1,65081,299100,0.102496851,0.102496851,0.200095916,0.11244285,0.233746227
0.5,0.137756373,0.137756373,0.260512807,2,65391,309990,0.108361933,0.108361933,0.211197735,0.117692454,0.242463288
0.5,0.137756373,0.137756373,0.260512807,3,65136,303004,0.106733777,0.106733777,0.208330926,0.116302702,0.240675207
0.5,0.137756373,0.137756373,0.260512807,4,64794,303267,0.107039662,0.107039662,0.208099131,0.11718912,0.242174901
0.5,0.137756373,0.137756373,0.260512807,5,64815,305196,0.10574245,0.10574245,0.205594459,0.115976108,0.239937165
0.5,0.137756373,0.137756373,0.260512807,6,64675,303444,0.108185524,0.108185524,0.208831482,0.117920456,0.241475018
0.5,0.137756373,0.137756373,0.260512807,7,64924,299837,0.103875367,0.103875367,0.201626534,0.113612167,0.234424165
0.5,0.137756373,0.137756373,0.260512807,8,64996,302643,0.107633792,0.107633792,0.209460342,0.11740068,0.242502213
0.5,0.137756373,0.137756373,0.260512807,9,65267,303904,0.104338645,0.104338645,0.203723648,0.113976749,0.235991386
0.5,0.137756373,0.137756373,0.260512807,avg,64975.7,303474.8,0.10591567,0.10591567,0.206080961,0.115694381,0.23905751
0.6,0.137756373,0.137756373,0.260512807,0,59163,254968,0.094108584,0.094108584,0.18568438,0.105479264,0.227157458
0.6,0.137756373,0.137756373,0.260512807,1,58947,257287,0.09378979,0.09378979,0.184545922,0.105000831,0.225728811
0.6,0.137756373,0.137756373,0.260512807,2,59169,260810,0.093556996,0.093556996,0.184886073,0.104617225,0.226039677
0.6,0.137756373,0.137756373,0.260512807,3,60179,264574,0.09965846,0.09965846,0.19598531,0.11037847,0.234882105
0.6,0.137756373,0.137756373,0.260512807,4,59678,262468,0.097942296,0.097942296,0.193159298,0.108770016,0.232625322
0.6,0.137756373,0.137756373,0.260512807,5,59460,261210,0.095118731,0.095118731,0.18895362,0.106175476,0.229980467
0.6,0.137756373,0.137756373,0.260512807,6,58915,263210,0.094288574,0.094288574,0.184920483,0.105752669,0.226527724
0.6,0.137756373,0.137756373,0.260512807,7,59409,261845,0.092207327,0.092207327,0.182160984,0.10310878,0.221388179
0.6,0.137756373,0.137756373,0.260512807,8,59504,260373,0.096758125,0.096758125,0.191082123,0.108227944,0.233282461
0.6,0.137756373,0.137756373,0.260512807,9,58939,258541,0.093329335,0.093329335,0.183719237,0.104915688,0.226423498
0.6,0.137756373,0.137756373,0.260512807,avg,59336.3,260528.6,0.095075822,0.095075822,0.187509743,0.106242636,0.22840357
0.7,0.137756373,0.137756373,0.260512807,0,51591,206140,0.083103016,0.083103016,0.167396833,0.095222132,0.215711119
0.7,0.137756373,0.137756373,0.260512807,1,51661,202803,0.083919906,0.083919906,0.169417205,0.096030746,0.217094537
0.7,0.137756373,0.137756373,0.260512807,2,52155,210288,0.084821831,0.084821831,0.171441737,0.09676735,0.219002002
0.7,0.137756373,0.137756373,0.260512807,3,51547,208777,0.084128541,0.084128541,0.169655878,0.095797992,0.2169544
0.7,0.137756373,0.137756373,0.260512807,4,51971,211065,0.083384527,0.083384527,0.167435949,0.095127065,0.213862036
0.7,0.137756373,0.137756373,0.260512807,5,50939,200351,0.082678006,0.082678006,0.167011736,0.095022884,0.217848268
0.7,0.137756373,0.137756373,0.260512807,6,51751,205375,0.085188767,0.085188767,0.171701352,0.097319035,0.219525646
0.7,0.137756373,0.137756373,0.260512807,7,51461,204680,0.085600334,0.085600334,0.171270559,0.097761182,0.219843044
0.7,0.137756373,0.137756373,0.260512807,8,51672,200687,0.081653809,0.081653809,0.165459435,0.093536716,0.21324638
0.7,0.137756373,0.137756373,0.260512807,9,51714,204107,0.08390088,0.08390088,0.168387864,0.096015906,0.215979408
0.7,0.137756373,0.137756373,0.260512807,avg,51646.2,205427.3,0.083837962,0.083837962,0.168917855,0.095860101,0.216906684
0.75,0.137756373,0.137756373,0.260512807,0,47065,174526,0.073509151,0.073509151,0.150395939,0.085165692,0.19918124
0.75,0.137756373,0.137756373,0.260512807,1,47077,176355,0.079560623,0.079560623,0.161206656,0.09125142,0.210518628
0.75,0.137756373,0.137756373,0.260512807,2,46642,171455,0.073051234,0.073051234,0.149552546,0.084183007,0.197299825
0.75,0.137756373,0.137756373,0.260512807,3,46742,179170,0.081969273,0.081969273,0.164763386,0.093785162,0.215871673
0.75,0.137756373,0.137756373,0.260512807,4,47327,182865,0.078893891,0.078893891,0.160290683,0.090563428,0.208884222
0.75,0.137756373,0.137756373,0.260512807,5,47437,183617,0.085668606,0.085668606,0.173365543,0.097148597,0.22241496
0.75,0.137756373,0.137756373,0.260512807,6,47431,180962,0.078411326,0.078411326,0.160597962,0.090121284,0.20959805
0.75,0.137756373,0.137756373,0.260512807,7,47467,178186,0.078979318,0.078979318,0.160759489,0.090331501,0.209619425
0.75,0.137756373,0.137756373,0.260512807,8,47380,183431,0.085828784,0.085828784,0.174239161,0.097562116,0.223416775
0.75,0.137756373,0.137756373,0.260512807,9,47382,182742,0.079348397,0.079348397,0.161055764,0.090708793,0.20963633
0.75,0.137756373,0.137756373,0.260512807,avg,47195,179330.9,0.07952206,0.07952206,0.161622713,0.0910821,0.210644113
0.8,0.137756373,0.137756373,0.260512807,0,41340,142052,0.070170129,0.070170129,0.146019991,0.080404986,0.195675642
0.8,0.137756373,0.137756373,0.260512807,1,41973,143297,0.07156728,0.07156728,0.149410268,0.082055025,0.198644339
0.8,0.137756373,0.137756373,0.260512807,2,42451,148346,0.07019809,0.07019809,0.146278181,0.080350315,0.193090927
0.8,0.137756373,0.137756373,0.260512807,3,41544,140671,0.067231123,0.067231123,0.141127269,0.077690158,0.190270585
0.8,0.137756373,0.137756373,0.260512807,4,42617,153973,0.075721122,0.075721122,0.156681251,0.086484899,0.20566525
0.8,0.137756373,0.137756373,0.260512807,5,41569,140795,0.069291322,0.069291322,0.145041087,0.079985193,0.19460957
0.8,0.137756373,0.137756373,0.260512807,6,42357,151479,0.075481948,0.075481948,0.156778742,0.086199336,0.205756285
0.8,0.137756373,0.137756373,0.260512807,7,42262,152037,0.07162703,0.07162703,0.148212963,0.082238713,0.195773812
0.8,0.137756373,0.137756373,0.260512807,8,40817,139944,0.065405451,0.065405451,0.135247697,0.076093821,0.184931319
0.8,0.137756373,0.137756373,0.260512807,9,41907,145631,0.064997984,0.064997984,0.136953618,0.075737992,0.185470228
0.8,0.137756373,0.137756373,0.260512807,avg,41883.7,145822.5,0.070169148,0.070169148,0.146175107,0.080724044,0.194988796
0.85,0.137756373,0.137756373,0.260512807,0,35702,113348,0.062868876,0.062868876,0.13397067,0.072351968,0.182178572
0.85,0.137756373,0.137756373,0.260512807,1,36224,117366,0.067980549,0.067980549,0.14460787,0.07753165,0.192587705
0.85,0.137756373,0.137756373,0.260512807,2,36371,117980,0.066324164,0.066324164,0.14272979,0.075907435,0.190981553
0.85,0.137756373,0.137756373,0.260512807,3,34911,105863,0.056193844,0.056193844,0.121585578,0.064642212,0.166757132
0.85,0.137756373,0.137756373,0.260512807,4,35464,109263,0.061414716,0.061414716,0.131387555,0.070533339,0.17922149
0.85,0.137756373,0.137756373,0.260512807,5,35374,109703,0.060164698,0.060164698,0.129362146,0.06953787,0.178171273
0.85,0.137756373,0.137756373,0.260512807,6,35991,116049,0.066117414,0.066117414,0.14155207,0.075585802,0.189734175
0.85,0.137756373,0.137756373,0.260512807,7,35443,115124,0.062071879,0.062071879,0.131650625,0.071426656,0.178405566
0.85,0.137756373,0.137756373,0.260512807,8,36357,115234,0.067757438,0.067757438,0.14603457,0.076892918,0.194652264
0.85,0.137756373,0.137756373,0.260512807,9,35947,116655,0.071927253,0.071927253,0.150376233,0.081606691,0.199966989
0.85,0.137756373,0.137756373,0.260512807,avg,35778.4,113658.5,0.064282083,0.064282083,0.137325711,0.073601654,0.185265672
0.875,0.137756373,0.137756373,0.260512807,0,31489,91123,0.05142716,0.05142716,0.112661044,0.058892224,0.155627497
0.875,0.137756373,0.137756373,0.260512807,1,32210,96862,0.054956978,0.054956978,0.118508687,0.063040931,0.161964457
0.875,0.137756373,0.137756373,0.260512807,2,32567,97676,0.059072971,0.059072971,0.128041892,0.067302291,0.172598921
0.875,0.137756373,0.137756373,0.260512807,3,32313,95598,0.056437594,0.056437594,0.123613365,0.064384027,0.167143976
0.875,0.137756373,0.137756373,0.260512807,4,31960,95575,0.059162342,0.059162342,0.127097428,0.067838,0.173240311
0.875,0.137756373,0.137756373,0.260512807,5,32847,100387,0.076766259,0.076766259,0.164785082,0.085547036,0.215322872
0.875,0.137756373,0.137756373,0.260512807,6,31767,95878,0.055340369,0.055340369,0.11879164,0.063832082,0.164084297
0.875,0.137756373,0.137756373,0.260512807,7,32606,91750,0.059859618,0.059859618,0.132919007,0.068093435,0.178750064
0.875,0.137756373,0.137756373,0.260512807,8,31408,91260,0.054832348,0.054832348,0.1192972,0.06335835,0.1654714
0.875,0.137756373,0.137756373,0.260512807,9,32080,96474,0.060811866,0.060811866,0.131061113,0.06918937,0.176172314
0.875,0.137756373,0.137756373,0.260512807,avg,32124.7,95258.3,0.05886675,0.05886675,0.127677646,0.067147775,0.173037611
0.9,0.137756373,0.137756373,0.260512807,0,28034,71548,0.056572682,0.056572682,0.126805675,0.063756847,0.172325437
0.9,0.137756373,0.137756373,0.260512807,1,28208,73411,0.051313509,0.051313509,0.115925953,0.058036208,0.158955758
0.9,0.137756373,0.137756373,0.260512807,2,27829,73471,0.051323372,0.051323372,0.11498898,0.058252513,0.158466195
0.9,0.137756373,0.137756373,0.260512807,3,27143,71618,0.055892301,0.055892301,0.122920492,0.063208042,0.168416205
0.9,0.137756373,0.137756373,0.260512807,4,28073,74843,0.052206322,0.052206322,0.116910344,0.058739095,0.158830919
0.9,0.137756373,0.137756373,0.260512807,5,27441,73584,0.051370482,0.051370482,0.112350156,0.058346716,0.154650075
0.9,0.137756373,0.137756373,0.260512807,6,27660,75746,0.050921356,0.050921356,0.112480811,0.057499245,0.154096416
0.9,0.137756373,0.137756373,0.260512807,7,27191,70730,0.050073923,0.050073923,0.111814078,0.057096796,0.153699534
0.9,0.137756373,0.137756373,0.260512807,8,28442,75258,0.053727463,0.053727463,0.120637603,0.061011113,0.163074719
0.9,0.137756373,0.137756373,0.260512807,9,27554,72729,0.05193411,0.05193411,0.116227459,0.05903934,0.160162447
0.9,0.137756373,0.137756373,0.260512807,avg,27757.5,73293.8,0.052533552,0.052533552,0.117106155,0.059498591,0.160267771
0.925,0.137756373,0.137756373,0.260512807,0,23267,57834,0.050559189,0.050559189,0.11542,0.056317782,0.15486891
0.925,0.137756373,0.137756373,0.260512807,1,23163,57469,0.047203528,0.047203528,0.107966358,0.053252988,0.1483284
0.925,0.137756373,0.137756373,0.260512807,2,23251,56247,0.047224999,0.047224999,0.107491772,0.053050803,0.145991742
0.925,0.137756373,0.137756373,0.260512807,3,23241,58134,0.054313616,0.054313616,0.123949603,0.060335018,0.166973822
0.925,0.137756373,0.137756373,0.260512807,4,23488,59448,0.050357349,0.050357349,0.115733212,0.05635416,0.156960335
0.925,0.137756373,0.137756373,0.260512807,5,23079,58397,0.053643693,0.053643693,0.119988641,0.05934145,0.161521562
0.925,0.137756373,0.137756373,0.260512807,6,22897,56893,0.049556724,0.049556724,0.112279865,0.055605992,0.151916287
0.925,0.137756373,0.137756373,0.260512807,7,23104,55839,0.051172656,0.051172656,0.116138807,0.057060823,0.157506959
0.925,0.137756373,0.137756373,0.260512807,8,22723,54689,0.045177217,0.045177217,0.103192792,0.050340854,0.141378721
0.925,0.137756373,0.137756373,0.260512807,9,24204,67018,0.058847665,0.058847665,0.130950527,0.064913994,0.171338966
0.925,0.137756373,0.137756373,0.260512807,avg,23241.7,58196.8,0.050805664,0.050805664,0.115311158,0.056657387,0.15567857
0.95,0.137756373,0.137756373,0.260512807,0,19099,42374,0.04307519,0.04307519,0.102862348,0.047350335,0.135461961
0.95,0.137756373,0.137756373,0.260512807,1,17812,37160,0.041108986,0.041108986,0.098352351,0.044952396,0.131996716
0.95,0.137756373,0.137756373,0.260512807,2,17666,37415,0.037081881,0.037081881,0.090431877,0.040813264,0.122370523
0.95,0.137756373,0.137756373,0.260512807,3,17372,36475,0.032182005,0.032182005,0.076889809,0.035758175,0.105842737
0.95,0.137756373,0.137756373,0.260512807,4,19160,43013,0.052546095,0.052546095,0.123486225,0.057052031,0.159625718
0.95,0.137756373,0.137756373,0.260512807,5,18332,41526,0.040048074,0.040048074,0.094099115,0.044085258,0.124929812
0.95,0.137756373,0.137756373,0.260512807,6,17990,38316,0.042948448,0.042948448,0.103919648,0.046853457,0.138816485
0.95,0.137756373,0.137756373,0.260512807,7,18173,38080,0.041962467,0.041962467,0.101272763,0.046196568,0.136110607
0.95,0.137756373,0.137756373,0.260512807,8,17948,38744,0.046587316,0.046587316,0.108873586,0.050897578,0.144018561
0.95,0.137756373,0.137756373,0.260512807,9,17270,36142,0.040737464,0.040737464,0.097604884,0.045088856,0.132271877
0.95,0.137756373,0.137756373,0.260512807,avg,18082.2,38924.5,0.041827793,0.041827793,0.099779261,0.045904792,0.1331445
0.97,0.137756373,0.137756373,0.260512807,0,13529,26803,0.059907191,0.059907191,0.147120055,0.063008578,0.18391436
0.97,0.137756373,0.137756373,0.260512807,1,13886,26857,0.052733984,0.052733984,0.132897295,0.056638235,0.169572774
0.97,0.137756373,0.137756373,0.260512807,2,13060,25410,0.044151693,0.044151693,0.108796436,0.047135968,0.140450773
0.97,0.137756373,0.137756373,0.260512807,3,12048,21150,0.039487515,0.039487515,0.100921845,0.041809579,0.133719618
0.97,0.137756373,0.137756373,0.260512807,4,12427,23646,0.044559875,0.044559875,0.109176966,0.047346172,0.141537379
0.97,0.137756373,0.137756373,0.260512807,5,13394,23698,0.046597921,0.046597921,0.125302662,0.049480503,0.162079202
0.97,0.137756373,0.137756373,0.260512807,6,12911,24294,0.034830269,0.034830269,0.088123378,0.037312133,0.115386096
0.97,0.137756373,0.137756373,0.260512807,7,13583,27342,0.04795397,0.04795397,0.116751886,0.051072119,0.147976235
0.97,0.137756373,0.137756373,0.260512807,8,12786,24528,0.044955946,0.044955946,0.11231081,0.047894319,0.145181783
0.97,0.137756373,0.137756373,0.260512807,9,12647,23100,0.032250261,0.032250261,0.083238582,0.034835954,0.110225247
0.97,0.137756373,0.137756373,0.260512807,avg,13027.1,24682.8,0.044742863,0.044742863,0.112463992,0.047653356,0.145004347
0.98,0.137756373,0.137756373,0.260512807,0,10268,16453,0.029120626,0.029120626,0.082417471,0.030957713,0.105781629
0.98,0.137756373,0.137756373,0.260512807,1,10029,16008,0.044198815,0.044198815,0.123164744,0.046465489,0.158127721
0.98,0.137756373,0.137756373,0.260512807,2,9272,14772,0.022695008,0.022695008,0.06347756,0.024108957,0.086042438
0.98,0.137756373,0.137756373,0.260512807,3,8729,12678,0.02084375,0.02084375,0.061802002,0.02227554,0.0858848
0.98,0.137756373,0.137756373,0.260512807,4,9994,16404,0.048449498,0.048449498,0.130583679,0.050735683,0.168792414
0.98,0.137756373,0.137756373,0.260512807,5,9758,16221,0.03388174,0.03388174,0.091863857,0.036149787,0.119091702
0.98,0.137756373,0.137756373,0.260512807,6,10169,17940,0.04172224,0.04172224,0.11112453,0.04405683,0.141373905
0.98,0.137756373,0.137756373,0.260512807,7,9423,15409,0.038193045,0.038193045,0.104802871,0.040341069,0.136640509
0.98,0.137756373,0.137756373,0.260512807,8,10388,18083,0.057428736,0.057428736,0.152031017,0.05978173,0.1891601
0.98,0.137756373,0.137756373,0.260512807,9,9814,16222,0.028433717,0.028433717,0.078099216,0.030205545,0.100897623
0.98,0.137756373,0.137756373,0.260512807,avg,9784.4,16019,0.036496717,0.036496717,0.099936695,0.038507834,0.129179284
0.985,0.137756373,0.137756373,0.260512807,0,7988,12358,0.01584617,0.01584617,0.046281246,0.016708917,0.059215096
0.985,0.137756373,0.137756373,0.260512807,1,7947,12387,0.037338637,0.037338637,0.106164634,0.038928282,0.136163318
0.985,0.137756373,0.137756373,0.260512807,2,8052,12800,0.037812809,0.037812809,0.106308918,0.039454986,0.132703236
0.985,0.137756373,0.137756373,0.260512807,3,7314,10252,0.024244101,0.024244101,0.072405616,0.025687815,0.097499057
0.985,0.137756373,0.137756373,0.260512807,4,8293,12983,0.03258284,0.03258284,0.092001869,0.033847345,0.114289915
0.985,0.137756373,0.137756373,0.260512807,5,7727,11460,0.023986612,0.023986612,0.074585333,0.025140013,0.097420701
0.985,0.137756373,0.137756373,0.260512807,6,7346,10059,0.008327047,0.008327047,0.026782175,0.008852414,0.036906831
0.985,0.137756373,0.137756373,0.260512807,7,8210,12460,0.020695028,0.020695028,0.06111733,0.021742347,0.078810008
0.985,0.137756373,0.137756373,0.260512807,8,7254,10370,0.027813242,0.027813242,0.084135637,0.029118046,0.111757834
0.985,0.137756373,0.137756373,0.260512807,9,8023,12493,0.024194584,0.024194584,0.070279923,0.025515271,0.090140475
0.985,0.137756373,0.137756373,0.260512807,avg,7815.4,11762.2,0.025284107,0.025284107,0.074006268,0.026499544,0.095490647
0.99,0.137756373,0.137756373,0.260512807,0,6011,7967,0.012213343,0.012213343,0.04185542,0.012786606,0.05537485
0.99,0.137756373,0.137756373,0.260512807,1,5472,7112,0.021398911,0.021398911,0.073413695,0.022358836,0.098192254
0.99,0.137756373,0.137756373,0.260512807,2,5712,7539,0.020825301,0.020825301,0.071659107,0.021497232,0.094382928
0.99,0.137756373,0.137756373,0.260512807,3,5684,7254,0.021092801,0.021092801,0.075167073,0.022071083,0.10036163
0.99,0.137756373,0.137756373,0.260512807,4,5319,6633,0.007885001,0.007885001,0.028530829,0.008545834,0.041322992
0.99,0.137756373,0.137756373,0.260512807,5,5426,7087,0.018473833,0.018473833,0.062376489,0.019321446,0.083937683
0.99,0.137756373,0.137756373,0.260512807,6,5700,7858,0.022987679,0.022987679,0.074660839,0.02396777,0.098143885
0.99,0.137756373,0.137756373,0.260512807,7,5578,7475,0.030700476,0.030700476,0.102481899,0.031591685,0.135344409
0.99,0.137756373,0.137756373,0.260512807,8,5965,8723,0.043740326,0.043740326,0.132106857,0.044947592,0.165297404
0.99,0.137756373,0.137756373,0.260512807,9,5892,8726,0.01800499,0.01800499,0.053932589,0.019452208,0.071187831
0.99,0.137756373,0.137756373,0.260512807,avg,5675.9,7637.4,0.021732266,0.021732266,0.07161848,0.022654029,0.094354587
0.995,0.137756373,0.137756373,0.260512807,0,3014,3377,0.008724244,0.008724244,0.038840281,0.009127994,0.058287656
0.995,0.137756373,0.137756373,0.260512807,1,3091,3399,0.02903887,0.02903887,0.13497616,0.029766449,0.199151716
0.995,0.137756373,0.137756373,0.260512807,2,3381,3878,0.021011595,0.021011595,0.096260435,0.021727159,0.13259842
0.995,0.137756373,0.137756373,0.260512807,3,4356,5716,0.026399843,0.026399843,0.097621152,0.027304398,0.117877065
0.995,0.137756373,0.137756373,0.260512807,4,3610,4508,0.013306999,0.013306999,0.051543205,0.013846376,0.067275124
0.995,0.137756373,0.137756373,0.260512807,5,3530,4591,0.032311595,0.032311595,0.122645088,0.032783926,0.153484429
0.995,0.137756373,0.137756373,0.260512807,6,3073,3701,0.021533914,0.021533914,0.081095241,0.021847087,0.10572614
0.995,0.137756373,0.137756373,0.260512807,7,2928,3225,0.003077295,0.003077295,0.014868516,0.003201861,0.021355465
0.995,0.137756373,0.137756373,0.260512807,8,3653,4346,0.009605586,0.009605586,0.041040008,0.00976695,0.053251746
0.995,0.137756373,0.137756373,0.260512807,9,3380,3697,0.005512921,0.005512921,0.028275681,0.006083844,0.04356651
0.995,0.137756373,0.137756373,0.260512807,avg,3401.6,4043.8,0.017052286,0.017052286,0.070716577,0.017545604,0.095257427
0.999,0.137756373,0.137756373,0.260512807,0,741,696,0,0,0,0,0
0.999,0.137756373,0.137756373,0.260512807,1,915,946,0.000115197,0.000115197,0.00092461,0.000176072,0.002013827
0.999,0.137756373,0.137756373,0.260512807,2,1149,1254,0.049874423,0.049874423,0.300029904,0.050183291,0.379346065
0.999,0.137756373,0.137756373,0.260512807,3,1250,1307,0.000805906,0.000805906,0.00667141,0.000853101,0.009354175
0.999,0.137756373,0.137756373,0.260512807,4,1223,1347,0.064601566,0.064601566,0.374444145,0.065023675,0.473356873
0.999,0.137756373,0.137756373,0.260512807,5,1391,1548,0.008538764,0.008538764,0.050976056,0.008770527,0.062563094
0.999,0.137756373,0.137756373,0.260512807,6,839,851,0,0,0,0,0
0.999,0.137756373,0.137756373,0.260512807,7,614,567,0,0,0,0,0
0.999,0.137756373,0.137756373,0.260512807,8,806,769,0,0,0,0,0
0.999,0.137756373,0.137756373,0.260512807,9,1374,1430,0,0,0,0,0
0.999,0.137756373,0.137756373,0.260512807,avg,1030.2,1071.5,0.012393586,0.012393586,0.073304612,0.012500667,0.092663403
